sample_size,scale,original_n,source,name,value,power,scale2,sd_item,new_sample
35,1,30,Low Variance,Decile 80,0.9,80,Small Scale,0.365907561055948,32.6369269596237
30,2,30,Low Variance,Decile 80,0.9,80,Medium Scale,5.36156474401855,27.9745088225346
30,3,30,Low Variance,Decile 80,0.933333333333333,80,Large Scale,73.3738205004333,27.9745088225346
35,1,30,Medium Variance,Decile 80,0.9,80,Small Scale,0.451439712223587,32.6369269596237
30,2,30,Medium Variance,Decile 80,0.866666666666667,80,Medium Scale,10.3773056176175,27.9745088225346
35,3,30,Medium Variance,Decile 80,0.833333333333333,80,Large Scale,122.691490779093,32.6369269596237
20,1,30,High Variance,Decile 90,0.833333333333333,80,Small Scale,0.959147328717719,18.6496725483564
25,2,30,High Variance,Decile 90,0.8,80,Medium Scale,13.3386983938319,23.3120906854455
25,3,30,High Variance,Decile 90,0.833333333333333,80,Large Scale,161.613160346834,23.3120906854455
30,1,30,Low Variance,Decile 90,0.866666666666667,80,Small Scale,0.365907561055948,27.9745088225346
30,2,30,Low Variance,Decile 90,0.933333333333333,80,Medium Scale,5.36156474401855,27.9745088225346
25,3,30,Low Variance,Decile 90,0.866666666666667,80,Large Scale,73.3738205004333,23.3120906854455
30,1,30,Medium Variance,Decile 90,0.833333333333333,80,Small Scale,0.451439712223587,27.9745088225346
20,2,30,Medium Variance,Decile 90,0.8,80,Medium Scale,10.3773056176175,18.6496725483564
25,3,30,Medium Variance,Decile 90,0.866666666666667,80,Large Scale,122.691490779093,23.3120906854455
120,1,35,Low Variance,Decile 0,0.8,80,Small Scale,0.285964242082766,106.339936810737
85,2,35,Low Variance,Decile 0,0.8,80,Medium Scale,4.71381492008093,75.3241219076051
80,3,35,Low Variance,Decile 0,0.8,80,Large Scale,63.4997055438284,70.8932912071577
110,1,35,Medium Variance,Decile 0,0.866666666666667,80,Small Scale,0.493099864124287,97.4782754098419
375,2,35,Medium Variance,Decile 0,0.8,80,Medium Scale,10.6909858537045,332.312302533552
300,3,35,Medium Variance,Decile 0,0.8,80,Large Scale,114.171886749355,265.849842026842
190,1,35,High Variance,Decile 10,0.833333333333333,80,Small Scale,1.11163515303956,168.371566617
245,3,35,High Variance,Decile 10,0.8,80,Large Scale,176.160680121747,217.110704321921
60,1,35,Low Variance,Decile 10,0.9,80,Small Scale,0.285964242082766,53.1699684053683
70,2,35,Low Variance,Decile 10,0.833333333333333,80,Medium Scale,4.71381492008093,62.031629806263
70,3,35,Low Variance,Decile 10,0.833333333333333,80,Large Scale,63.4997055438284,62.031629806263
95,1,35,Medium Variance,Decile 10,0.833333333333333,80,Small Scale,0.493099864124287,84.1857833084998
180,2,35,Medium Variance,Decile 10,0.8,80,Medium Scale,10.6909858537045,159.509905216105
155,3,35,Medium Variance,Decile 10,0.833333333333333,80,Large Scale,114.171886749355,137.355751713868
130,1,35,High Variance,Decile 20,0.833333333333333,80,Small Scale,1.11163515303956,115.201598211631
205,2,35,High Variance,Decile 20,0.833333333333333,80,Medium Scale,13.8630505420922,181.664058718342
140,3,35,High Variance,Decile 20,0.8,80,Large Scale,176.160680121747,124.063259612526
50,1,35,Low Variance,Decile 20,0.8,80,Small Scale,0.285964242082766,44.3083070044736
60,2,35,Low Variance,Decile 20,0.8,80,Medium Scale,4.71381492008093,53.1699684053683
65,3,35,Low Variance,Decile 20,0.833333333333333,80,Large Scale,63.4997055438284,57.6007991058157
85,1,35,Medium Variance,Decile 20,0.9,80,Small Scale,0.493099864124287,75.3241219076051
140,2,35,Medium Variance,Decile 20,0.833333333333333,80,Medium Scale,10.6909858537045,124.063259612526
100,3,35,Medium Variance,Decile 20,0.866666666666667,80,Large Scale,114.171886749355,88.6166140089472
120,1,35,High Variance,Decile 30,0.833333333333333,80,Small Scale,1.11163515303956,106.339936810737
160,2,35,High Variance,Decile 30,0.8,80,Medium Scale,13.8630505420922,141.786582414316
120,3,35,High Variance,Decile 30,0.8,80,Large Scale,176.160680121747,106.339936810737
50,1,35,Low Variance,Decile 30,0.8,80,Small Scale,0.285964242082766,44.3083070044736
55,2,35,Low Variance,Decile 30,0.8,80,Medium Scale,4.71381492008093,48.739137704921
60,3,35,Low Variance,Decile 30,0.833333333333333,80,Large Scale,63.4997055438284,53.1699684053683
70,1,35,Medium Variance,Decile 30,0.8,80,Small Scale,0.493099864124287,62.031629806263
115,2,35,Medium Variance,Decile 30,0.8,80,Medium Scale,10.6909858537045,101.909106110289
85,3,35,Medium Variance,Decile 30,0.866666666666667,80,Large Scale,114.171886749355,75.3241219076051
85,1,35,High Variance,Decile 40,0.866666666666667,80,Small Scale,1.11163515303956,75.3241219076051
115,2,35,High Variance,Decile 40,0.8,80,Medium Scale,13.8630505420922,101.909106110289
90,3,35,High Variance,Decile 40,0.8,80,Large Scale,176.160680121747,79.7549526080525
